AppUrl,ArgumentList,FilesCount
https://download.microsoft.com/download/6/7/4/674ec7db-7c89-4f2b-8363-689055c2b430/adk/adksetup.exe, "/layout .\DownloadFiles /quiet",317
https://download.microsoft.com/download/5/2/5/525dcde0-c7b8-487a-894d-0952775a78c7/adkwinpeaddons/adkwinpesetup.exe,"/layout .\DownloadFiles /quiet",23
